domanda;risp_A;risp_B;risp_C;risp_corretta;pti
"Per evitare danni alle api è vietato effettuare trattamenti insetticidi in un frutteto:";"quando la vegetazione sottostante è in fioritura";"prima della fioritura del frutteto in assenza di vegetazione sottostante";"quando la temperatura atmosferica è inferiore a 3 gradi centigradi";"A";"3"
"Quali sono le modalità attraverso le quali i prodotti fitosanitari si disperdono nell'ambiente?";"Deriva, volatilità, ruscellamento e percolazione";"Contatto, asfissia e ingestione";"Deriva e ingestione";"A";"3"
"E' possibile irrorare una coltura in presenza di vento?";"Si, a seconda della direzione del vento";"Si, osservando l'anemometro";"No";"C";"3"
"Gli imballaggi dei prodotti fitosanitari possono essere utilizzati per altri scopi?";"Si, ma solo quelli di prodotti fitosanitari ammessi in agricoltura biologica";"Si, purché non siano adibiti a contenere sostanze alimentari";"No, mai";"C";"3"
"Quali limitazioni specifiche occorre adottare sull'utilizzo di prodotti fitosanitari in prossimità di zone frequentate dalla popolazione?";"Nessuna limitazione se il prodotto fitosanitario è biologico";"Nessuna limitazione in particolare se la distanza da queste zone è superiore a 30m";"Prendere precauzioni affinché la nube irrorante non fuoriesca dall'appezzamento irrorato";"C";"3"
"I contenitori dei prodotti fitosanitari dopo l'uso debbono essere:";"bonificati, custoditi in un deposito temporaneo per un massimo di 20 giorni e smaltiti come rifiuti indifferenziati";"bonificati e inceneriti presso l'azienda";"bonificati e conferiti ad una ditta autorizzata al loro smaltimento";"C";"3"
"Cosa occorre fare dell'acqua di lavaggio derivante dalla bonifica dei contenitori vuoti di prodotti fitosanitari?";"Deve essere scaricata per terra, avendo cura di non bagnarsi con eventuali schizzi";"Deve essere versata nella miscela preparata per effettuare il trattamento";"E' possibile scaricarla in fognatura o nel pozzetto dell'area attrezzata";"B";"2"
"Entro quanto tempo dal trattamento deve essere aggiornato il registro dei trattamenti?";"Entro 20 giorni e comunque deve essere sempre a disposizione in caso di controlli in campo per la condizionalità";"Entro 30 giorni e comunque entro la raccolta deve essere a disposizione e completato a richiesta dell'autorità";"Entro la settimana successiva l'effettuazione del trattamento";"B";"3"
"I contenitori vuoti di prodotti fitosanitari possono rimanere in deposito temporaneo presso l'azienda...";"all'aperto, purché confinati entro la proprietà privata";"all'aperto, sotto coperture provvisorie";"in ambienti con requisiti tali da impedire qualsiasi dispersione e per un periodo massimo di un anno";"C";"1"
"Il formulario di trasporto dei rifiuti deve essere redatto...";"in due esemplari, uno per il produttore ed uno per il trasportatore";"in tre esemplari, uno per il produttore, uno per il trasportatore ed uno per lo smaltitore";"in quattro esemplari, uno per il produttore, due per il trasportatore ed uno per lo smaltitore";"C";"2"
"Quali fra i seguenti sono tutti prodotti fitosanitari?";"Concimi, insetticidi e diserbanti";"Acaricidi, nematocidi e fitoregolatori";"Prodotti antiparassitari per uso zootecnico e diserbanti";"B";"1"
"A cosa serve un prodotto fitosanitario insetticida?";"A combattere gli insetti degli animali";"A combattere malattie crittogamiche";"A combattere gli insetti dannosi alle piante coltivate";"C";"3"
"A cosa serve un prodotto fitosanitario erbicida?";"A controllare o eliminare le erbe infestanti";"A favorire lo sviluppo delle erbe del prato";"Alla sterilizzazione del suolo";"A";"2"
"A che cosa servono i fungicidi?";"A combattere le malattie crittogamiche delle piante coltivate";"Esclusivamente ad eliminare i funghi nelle fungaie a fine ciclo produttivo";"A distruggere le foglie attaccate dal marciume";"A";"2"
"Da chi viene autorizzata l'etichetta di un prodotto fitosanitario?";"Dalla Regione";"Dal Ministero delle Politiche Agricole, Alimentari e Forestali";"Dal Ministero della Salute";"C";"1"
"Cosa si intende per sostanza attiva?";"Una sostanza che aumenta l'efficacia del prodotti fitosanitario";"La sostanza contenuta in un prodotto fitosanitario che agisce contro le avversità da combattere";"Un prodotto fitosanitario che può essere acquistato solamente da chi possiede il certificato per utilizzatore professionale";"B";"2"
"Cosa si intende per ""preparato"" o ""formulato commerciale""?";"Solo una miscela di più sostanze attive";"Il prodotto derivante dalla miscelazione con l'acqua";"Il prodotto fitosanitario come acquistato dal distributore";"C";"2"
"Che cosa sono i coformulanti?";"Sostanze che riducono la tossicità della sostanza attiva";"Sostanze che completano il prodotto fitosanitario";"Sostanze che prolungano il tempo di sicurezza";"B";"1"
"Cosa significa il parametro della DL 50 riportata nella scheda di sicurezza?";"Il 50% del prodotto che può essere letale in caso di ingestione accidentale da parte dell'operatore";"La dose che uccide il 50% degli animali sottoposti a trattamento";"La dose da diluire al 50% per avere un'azione letale";"B";"2"
"A cosa si riferisce la CL50 riportata nella scheda di sicurezza?";"Al rischio di tossicità per via cutanea";"Al rischio di tossicità per via inalatoria";"Al rischio di tossicità per ingestione";"B";"1"
"Prodotti fitosanitari diversi contenenti la stessa sostanza attiva possono essere contrassegnati con pittogrammi e frasi di rischio differenti?";"No";"Dipende dalla taglia della confezione del prodotto fitosanitario";"Si";"C";"1"
"Cosa fare nel caso non venga consegnata da parte del venditore la Scheda di Sicurezza (SDS) all'atto dell'acquisto di un prodotto fitosanitario?";"Nulla, perché non è necessaria";"Pretendere il rilascio in quanto obbligatorio";"Nulla, perché le informazioni sono riportate già sull'etichetta";"B";"3"
"Un prodotto contrassegnato dal simbolo del ""punto esclamativo"" indica:";"Prodotto pericoloso";"Prodotto nocivo";"Prodotto non pericoloso";"B";"2"
"Dove possono essere reperiti i prodotti fitosanitari per utilizzatori professionali?";"Da un altro agricoltore in caso di necessità";"Esclusivamente da rivenditori autorizzati";"On line anche in assenza del certificato di utilizzatore professionale";"B";"3"
"Quali sono i rischi connessi all'utilizzo di un prodotto fitosanitario non autorizzato?";"Rischi sanitari per la collettività e danni economici";"Solo rischi legati a frode fiscale per l'agricoltore";"Solo rischi di fitotossicità per la coltura trattata";"A";"2"
"Possono essere acquistati prodotti fitosanitari in confezioni non sigillate o non originali?";"Si, purché si tratti di prodotti poco tossici";"No, in nessun caso";"Solo nel caso il rivenditore ne garantisca la provenienza e l'efficacia";"B";"2"
"Quali sono alcuni requisiti tassativi per l'acquisto ed il commercio dei prodotti fitosanitari?";"La confezione deve essere integra, completa di etichetta ed in vetro";"Confezione originale, numero e data di registrazione del Ministero della Salute, classificazione del prodotto";"Qualora l'acquisto sia fatto tramite ordinazione scritta, non valgono le norme previste per la vendita diretta";"B";"1"
"Per fitotossicità si intende un danno provocato da un prodotto fitosanitario...";"alle colture agrarie";"ad animali e pesci";"all'uomo";"A";"2"
"Chi è responsabile di eventuali intossicazioni dell'operatore durante il trattamento per il cattivo uso dei DPI?";"Chi effettua il trattamento";"Chi ha commissionato il trattamento";"Chi ha venduto il prodotto";"A";"3"
"L'uso del mezzo aereo per i trattamenti fitosanitari in Piemonte è consentito?";"Si sempre";"No, è vietato salvo autorizzazione in deroga";"Si solo sulla vite con droni";"B";"1"
"Cosa sono i metaboliti di una sostanza attiva?";"Solventi derivanti dalla degradazione dei prodotti di partenza";"Prodotti di trasformazione e di degradazione del prodotto di partenza";"Adesivanti derivanti dalla trasformazione del prodotto di partenza";"B";"1"
"Che cosa si intende per coformulanti o coadiuvanti di un prodotto fitosanitario?";"Sostanze di degradazione del prodotto fitosanitario";"Sostanze estranee formatasi nel processo produttivo o durante la conservazione";"Sostanze che migliorano l'azione della sostanza attiva, favorendone la regolare distribuzione e la persistenza";"C";"1"
"Cosa si intende per intervallo di sicurezza?";"L’intervallo minimo di tempo, espresso in giorni, che deve intercorrere tra l'ultimo trattamento con un determinato prodotto fitosanitario e il consumo del prodotto raccolto";"L’intervallo minimo di tempo, espresso in giorni, che deve intercorrere tra l’ultimo trattamento con un determinato prodotto fitosanitario e la raccolta e, per le derrate alimentari immagazzinate, tra l’ultimo trattamento e l’immissione in commercio";"L’intervallo minimo di tempo, espresso in giorni, che deve intercorrere tra l'ultimo trattamento con un determinato prodotto fitosanitario e il trattamento successivo e, per le derrate alimentari immagazzinate, tra l'ultimo trattamento e il loro consumo";"B";"3"
"Cosa si intende per tempo di rientro?";"L’intervallo di tempo che, deve trascorrere tra il trattamento e l’accesso di uomini o animali nella zona trattata";"L’intervento di tempo previsto tra la raccolta del prodotto e la semina della coltura successiva sullo stesso appezzamento";"L’intervallo di tempo previsto tra la raccolta del prodotto trattato e il suo trasporto presso il centro di distribuzione";"A";"3"
"Quando in etichetta non è indicato il tempo di rientro, dopo quanto tempo è buona norma rientrare in un appezzamento trattato senza gli opportuni DPI?";"Almeno 48 ore,";"Il tempo dato dall’intervallo di sicurezza";"Almeno 12 ore";"A";"2"
"Qual è il simbolo che identifica un prodotto “pericoloso” per tossicità acuta ?";"Una croce di S. Andrea bianca inserito in un riquadro romboidale";"Un punto esclamativo inserito in un riquadro romboidale";"Un teschio su ossa incrociate inserito in un riquadro romboidale";"C";"2"
"Chi è responsabile di eventuali danni che potrebbero verificarsi in seguito all’uso dei prodotti fitosanitari in modo non conforme alle indicazioni?";"Colui che ha eseguito il trattamento";"Colui che ha acquistato il prodotto fitosanitario";"Colui che ha venduto il prodotto fitosanitario";"A";"3"
"Cosa si intende per residuo di una sostanza attiva?";"La percentuale di sostanza attiva presente nel prodotto commerciale";"La quantità di sostanza attiva, delle sue impurezze e/o dei suoi prodotti di metabolizzazione, degradazione o reazione, presenti in qualsiasi substrato (suolo, acqua, vegetali, alimenti)";"La quantità di sostanza attiva che residua nel serbatoio della macchina di distribuzione dopo aver effettuato il trattamento";"B";"2"
"Cosa è il registro dei trattamenti?";"Un registro dove si annotano le date di effettuazione dei trattamenti";"Un registro del contoterzista in cui il contoterzista stesso riporta tutti i trattamenti che ha effettuato nell’anno presso i propri clienti";"Un registro dove vengono annotate tutte le informazioni relative ai trattamenti effettuati durante l’anno su ogni appezzamento o coltura";"C";"3"
"Il certificato di abilitazione per utilizzatori professionali viene rinnovato:";"previa frequenza di un corso di almeno 12 ore ed esame";"previo superamento di un esame";"previa frequenza di un corso di 12 ore";"C";"2"
"Il certificato di abilitazione per utilizzatori professionali……";"è anche necessario per l’attività di consulente";"è necessario per l’acquisto e l’utilizzo di tutti i prodotti fitosanitari per uso professionale";"è necessario solo per l’acquisto di tutti i prodotti fitosanitari per uso professionale";"B";"3"
"Chi acquista prodotti fitosanitari ad uso professionale:";"deve esibire al venditore il certificato di abilitazione all’acquisto e all’utilizzo dei prodotti fitosanitari";"se lo ritiene utile, può conservare per un anno, insieme al registro dei trattamenti, la documentazione relativa all’acquisto";"prima dell’acquisto deve dichiarare al venditore l’estensione della superficie che intende trattare";"A";"3"
"Un agricoltore che affida i trattamenti fitosanitari ad un contoterzista deve:";"verificare che sia in possesso del certificato di utilizzatore professionale";"verificare che sia in possesso del certificato di abilitazione alla vendita";"verificare che sia in possesso del certificato di abilitazione alla professione di contoterzista";"A";"3"
"Che cosa si intende per Limite Massimo di Residui (LMR) di una sostanza attiva?";"La quantità massima di sostanza attiva ammessa sui vegetali al momento della raccolta";"La quantità massima di sostanza attiva che residua nella botte al termine del trattamento";"La quantità massima di sostanza attiva ammessa sui vegetali al momento della commercializzazione";"C";"1"
"Cosa si intende per soglia di intervento?";"L’intervallo di date entro le quali è economicamente vantaggioso effettuare un trattamento";"La valutazione del costo del trattamento rispetto ai ricavi ipotetici per la vendita del prodotto finale";"Il limite di infezione o di infestazione oltre il quale è necessario intervenire per evitare danni economici";"C";"3"
"I prodotti fitosanitari ad uso non professionale per piante edibili (PFnPE):";"possono essere acquistati presso i rivenditori autorizzati esclusivamente da coloro che possiedono il certificato di abilitazione per utilizzatori non professionali";"possono essere acquistati ovunque e solo dagli utilizzatori non professionali";"possono essere acquistati presso i rivenditori autorizzati sia dagli utilizzatori non professionali che da coloro che possiedono il certificato di abilitazione";"C";"2"
"E’ possibile utilizzare prodotti fitosanitari di cui sia stata revocata l’autorizzazione?";"Sì, in qualsiasi momento purché acquistato prima della data di revoca";"Sì, purché per l'utilizzo si seguano le indicazioni del consulente";"No, in nessun caso dopo il termine di utilizzo previsto dalla comunicazione di revoca";"C";"3"
"Quali responsabilità assume chi acquista prodotti fitosanitari?";"Nessuna responsabilità";"È considerato responsabile solo se il prodotto non viene utilizzato secondo le indicazioni del produttore";"La responsabilità diretta di modalità idonee di trasporto, conservazione e di impiego del prodotto e del corretto smaltimento delle confezioni";"C";"2"
"Il certificato di abilitazione per utilizzatori professionali può essere ceduto ad un’altra persona per acquistare prodotti fitosanitari?";"Sì, se viene utilizzato per acquistare prodotti fitosanitari presso la rivendita di fiducia";"No, in quanto è un documento personale";"Sì, ma solo se viene ceduto a un familiare o a un coadiuvante";"B";"3"
"Quale pittogramma è riportato sull’etichetta di un prodotto fitosanitario pericoloso per l’ambiente?";"Un pesce";"Un albero privo di foglie e un pesce";"Un punto esclamativo";"B";"2"
"Quali sono le attività regolamentate dal PAN?";"Il finanziamento dei corsi finalizzati al conseguimento dei certificati fitosantari";"L'uso sostenibile dei prodotti fitosanitari";"L'autorizzazione all'impiego di organismi geneticamente modificati";"B";"1"
"E’ obbligatorio registrare i trattamenti con prodotti fitosanitari alle colture agricole?";"Sì, ma solo quando non si utilizzano prodotti autorizzati in agricoltura biologica";"Sì, sempre";"No, è obbligatorio solo nel caso in cui il trattamento abbia procurato fastidio a qualcuno";"B";"3"
"Il registro dei trattamenti deve esser compilato solo per i trattamenti effettuati nelle aziende agricole?";"Sì, indipendentemente dalla coltura trattata";"No, anche per i trattamenti effettuati negli orti e giardini familiari";"No, anche per i trattamenti per la difesa delle derrate alimentari e per gli impieghi extra-agricoli";"C";"2"
"Nel caso in cui non ci si rivolga ad un contoterzista, da chi deve essere compilato il registro dei trattamenti?";"Dall’organizzazione professionale di categoria o dal commercialista";"Da chi ha effettuato il trattamento";"Da chi ha venduto il prodotto fitosanitario utilizzato per il trattamento";"B";"3"
"Per effettuare i trattamenti fitosanitari in modo da soddisfare gli obblighi in materia di salute e di sicurezza sul lavoro il lavoratore deve:";"essere informato sul rispetto dell’orario di lavoro, formato a lavorare in qualsiasi circostanza atmosferica e addestrato a sopportare le fatiche";"essere formato ed addestrato all’uso delle misure protettive";"partecipare ad un corso di formazione sui DPI";"B";"2"
"Il non rispetto delle indicazioni riportate in etichetta relativamente alle indicazioni per la tutela della salute o dell'ambiente puo' comportare:";"un richiamo per il possessore del certificato";"la sospensione del certificato per un periodo di tempo";"esclusivamente una sanzione amministrativa";"B";"3"
"In riferimento ai prodotti fitosanitari autorizzati ritirati o revisionati, esistono delle informazioni elettronicamente accessibili al pubblico rese disponibili dalle autorità competenti?";"Sì, sul sito web del Ministero delle Politiche Agricole e Forestali nella banca dati prodotti fitosanitari revocati";"Sì, sul sito web del Ministero della Salute nella banca dati prodotti fitosanitari";"No, esistono solo le schede di sicurezza (SDS) in formato cartaceo consegnate dal rivenditore";"B";"2"
"Nel caso in cui dovessero verificarsi fenomeni di deriva dovuti all'utilizzo non corretto del prodotto fitosanitario nella fase di distribuzione della miscela:";"all'utilizzatore professionale viene fatto un richiamo verbale dai Carabinieri Forestali";"l'utilizzatore professionale viene invitato a sospendere il trattamento";"all'utilizzatore professionale viene sospeso per un periodo di tempo il certificato da parte dell'autorità competente";"C";"3"
"Nel caso di utilizzo di un prodotto fitosanitario da parte di un conto terzista in ambito extra agricolo:";"è necessario annotare il trattamento sul registro dei trattamenti";"non è necessario annotare il trattamento sul registro essendo in ambito extra agricolo";"è necessario annotare il trattamento solo nel caso in cui siano utilizzati prodotti pericolosi per l’ambiente";"A";"2"
"Come sono etichettati e contrassegnati i prodotti fitosanitari sensibilizzanti per inalazione?";"Con un teschio nero su ossa incrociate inserite in un quadrato rettangolare di colore giallo-arancio e la scritta “Irritante”";"Con la sola scritta “Nocivo”, senza nessun contrassegno e disegno particolare";"Con un pittogramma a forma di losanga con fondo bianco e bordo rosso contenente il simbolo della persona danneggiata di colore nero e la scritta “pericolo”.";"C";"2"
"E’ necessario acquisire il certificato da utilizzatore professionale per acquistare prodotti fitosanitari pericolosi per l’ambiente?";"No, perchè non sono pericolosi per la salute dell’uomo";"Il certificato è obbligatorio per tutti i prodotti fitosanitari ad uso professionale";"Solo quando vengono irrorati su seminativi in pieno campo";"B";"2"
